node,row_idx,L_i_r_db,level_bin_idx,is_clean_row
Node2-Bogota,31,-20.58519146949892,4,True
Node2-Bogota,32,-19.398108242559992,6,True
Node2-Bogota,33,-21.489531987255244,0,True
Node2-Bogota,34,-21.51445023657324,0,True
Node2-Bogota,35,-20.55850822327121,4,True
Node2-Bogota,36,-20.002145652283758,5,False
Node2-Bogota,37,-20.498767143337155,4,True
Node2-Bogota,38,-21.058127550948562,0,True
Node2-Bogota,39,-18.113320168509908,6,True
Node2-Bogota,40,-21.276957063252702,0,True
Node2-Bogota,41,-21.786394449077598,0,True
Node2-Bogota,42,-20.321888971453703,5,True
Node2-Bogota,43,-19.859124475306494,6,True
Node2-Bogota,44,-19.90226436199987,6,True
Node2-Bogota,45,-20.277192757183045,5,True
Node2-Bogota,46,-19.90391821902592,6,True
Node2-Bogota,47,-20.988056445631308,1,True
Node2-Bogota,48,-20.812691198852008,2,True
Node2-Bogota,49,-20.826539823345612,2,True
Node2-Bogota,50,-20.68612349442732,3,True
Node2-Bogota,51,-19.94719089222616,6,True
Node2-Bogota,52,-19.998279656637653,5,True
Node2-Bogota,53,-20.05742772352952,5,True
Node2-Bogota,54,-21.56027309440389,0,True
Node2-Bogota,55,-19.5114731958337,6,True
Node2-Bogota,56,-20.743098285715988,3,True
Node2-Bogota,57,-19.933195837435655,6,True
Node2-Bogota,58,-20.02715869269695,5,True
Node2-Bogota,59,-20.379933331053504,4,True
Node2-Bogota,60,-20.637694943329237,3,True
Node2-Bogota,61,-20.964286655166767,1,True
Node2-Bogota,62,-19.72068734414556,6,True
Node2-Bogota,63,-19.999584157967696,5,True
Node2-Bogota,64,-21.3438414886652,0,True
Node2-Bogota,65,-20.756165932355284,2,True
Node2-Bogota,66,-20.54508016829446,4,True
Node2-Bogota,67,-20.643204517091828,3,False
Node2-Bogota,68,-20.702124676924814,3,True
Node2-Bogota,69,-20.349086808617237,4,True
Node2-Bogota,70,-20.799023134843267,2,True
Node2-Bogota,71,-20.706837799011733,3,True
Node2-Bogota,72,-21.01449058178966,1,True
Node2-Bogota,73,-22.07991654281812,0,True
Node2-Bogota,74,-20.89270589639918,1,True
Node2-Bogota,75,-20.942290452378927,1,True
Node2-Bogota,76,-20.998247968129803,1,True
Node2-Bogota,77,-21.02797389808957,1,True
Node2-Bogota,78,-20.865849237002166,2,True
Node2-Bogota,79,-20.61538542737801,4,True
Node2-Bogota,80,-20.67185532354505,3,True
Node2-Bogota,81,-20.808400735690814,2,True
Node2-Bogota,82,-20.14675864663119,5,True
Node2-Bogota,83,-20.780099581870733,2,True
Node2-Bogota,84,-20.671421802011572,3,True
Node2-Bogota,85,-20.827375407305226,2,True
Node2-Bogota,86,-19.987550188005624,5,True
Node2-Bogota,87,-20.272318320788244,5,True
Node2-Bogota,88,-20.82025758598521,2,True
Node2-Bogota,89,-20.88975267562884,1,True
Node2-Bogota,90,-20.647683955269798,3,True
Node2-Bogota,91,-21.21715236535966,0,True
Node2-Bogota,92,-21.662694378206574,0,True
