node,row_idx,A_i_r_db,is_clean_row
Node10-Bogota,86,-0.07838493500932797,True
Node10-Bogota,87,0.23987699670079837,True
Node10-Bogota,88,-0.4750001570408044,True
Node10-Bogota,89,-0.08870837743410373,True
Node10-Bogota,90,-0.15839436928729372,True
Node10-Bogota,91,0.059255242477141506,True
Node10-Bogota,92,-0.5288458057045098,True
Node10-Bogota,93,0.18606777367743363,True
Node10-Bogota,94,-0.27880578191747396,True
Node10-Bogota,95,0.2910200130642955,True
Node10-Bogota,96,0.26623102594632664,True
Node10-Bogota,97,0.09042573161922379,True
Node10-Bogota,98,0.11968590666918172,True
Node10-Bogota,99,-0.00400751885311898,True
Node10-Bogota,100,0.16549923434219035,True
Node10-Bogota,101,-0.056084007353207704,True
Node10-Bogota,102,0.4594338067180991,True
Node10-Bogota,103,-0.27563732330656515,True
Node2-Bogota,0,0.494561567841753,True
Node2-Bogota,1,0.5920387501629225,True
Node2-Bogota,2,0.39207796279586393,True
Node2-Bogota,3,0.15896016077665476,True
Node2-Bogota,4,0.1275032723780666,True
Node2-Bogota,5,0.5431457120043667,True
Node2-Bogota,6,0.24636894813797489,True
Node2-Bogota,7,0.4047363654807884,True
Node2-Bogota,8,,False
Node2-Bogota,9,0.36732097606248953,True
Node2-Bogota,10,0.20492373676581116,True
Node2-Bogota,11,0.0014314835557643901,True
Node2-Bogota,12,,False
Node2-Bogota,13,0.24231808797901855,True
Node2-Bogota,14,-0.040984070375647635,True
Node2-Bogota,15,0.4495940297225751,True
Node2-Bogota,16,0.005136165901096029,True
Node2-Bogota,17,-0.0769573302882649,True
Node2-Bogota,18,0.02345671719230541,True
Node2-Bogota,19,-0.3704362134097744,True
Node2-Bogota,20,0.31697354276087597,True
Node2-Bogota,21,-0.3425858514780294,True
Node2-Bogota,22,0.5083090619360049,True
Node2-Bogota,23,0.4267569264041866,True
Node2-Bogota,24,-0.06083339641502242,True
Node2-Bogota,25,-0.31118059725822617,True
Node2-Bogota,26,0.3279124476976268,True
Node2-Bogota,27,0.1095377786477103,True
Node2-Bogota,28,-0.10964701244471423,True
Node2-Bogota,29,0.045723242309185674,True
Node2-Bogota,30,,False
Node2-Bogota,31,0.09661810166093537,True
Node2-Bogota,32,-0.2166874956644952,True
Node2-Bogota,33,-0.37391401730071017,True
Node2-Bogota,34,0.16386428123300462,True
Node2-Bogota,35,-0.3546697956931848,True
Node2-Bogota,36,,False
Node2-Bogota,37,-0.31743375847790845,True
Node2-Bogota,38,0.07482311188466034,True
Node2-Bogota,39,-0.18722771618805795,True
Node2-Bogota,40,-0.14838908180315682,True
Node2-Bogota,41,0.13585711487852797,True
Node2-Bogota,42,-0.2539907871094357,True
Node2-Bogota,43,-0.43735705372979505,True
Node2-Bogota,44,-0.5520724494643214,True
Node2-Bogota,45,0.33893269175049445,True
Node2-Bogota,46,-0.23253062977994468,True
Node2-Bogota,47,0.18915807129586648,True
Node2-Bogota,48,-0.3849495232448543,True
Node2-Bogota,49,-0.26227593014768497,True
Node2-Bogota,50,0.2106723321484115,True
Node2-Bogota,51,-0.6922363545486828,True
Node2-Bogota,52,-0.264218887741123,True
Node2-Bogota,53,-0.5808850222077693,True
Node2-Bogota,54,-0.11433048545632316,True
Node2-Bogota,55,-0.3164677127852734,True
Node2-Bogota,56,-0.0029632157782414903,True
Node2-Bogota,57,-0.3206932732293719,True
Node2-Bogota,58,-0.5379794943963853,True
Node2-Bogota,59,-0.18777960114065856,True
Node2-Bogota,60,0.3195239912407095,True
Node2-Bogota,61,-0.34492433339272,True
Node2-Bogota,62,0.11731495241026879,True
Node2-Bogota,63,-0.06509500445863237,True
Node2-Bogota,64,-0.2253201427799235,True
Node2-Bogota,65,-0.09773466298687009,True
Node2-Bogota,66,0.03829909436353339,True
Node2-Bogota,67,,False
Node2-Bogota,68,0.22107866666950077,True
Node2-Bogota,69,0.17014626532153293,True
Node2-Bogota,70,-0.2629744337961251,True
Node2-Bogota,71,-0.2275856657471106,True
Node2-Bogota,72,0.27931057717794894,True
Node2-Bogota,73,-0.0704535815505262,True
Node2-Bogota,74,-0.2558275236874015,True
Node2-Bogota,75,-0.5358559709730085,True
Node2-Bogota,76,0.19840014363152403,True
Node2-Bogota,77,-0.07357857110072197,True
Node2-Bogota,78,-0.16151437346623398,True
Node2-Bogota,79,0.0977941058728467,True
Node2-Bogota,80,0.1516827309345436,True
Node2-Bogota,81,-0.49902100581501524,True
Node2-Bogota,82,-0.4771186394827811,True
Node2-Bogota,83,0.12307116811596439,True
Node2-Bogota,84,0.18895096881320206,True
Node2-Bogota,85,0.08672586005554672,True
Node2-Bogota,86,-0.3961606390021713,True
Node2-Bogota,87,-0.12921030425128702,True
Node2-Bogota,88,-0.4546353411151382,True
Node2-Bogota,89,0.10940221888591191,True
Node2-Bogota,90,0.1556860087428577,True
Node2-Bogota,91,0.7182569642134713,True
Node2-Bogota,92,0.5547646792790714,True
Node2-Bogota,93,0.1231395103388998,True
Node2-Bogota,94,-0.09018190171421958,True
Node2-Bogota,95,0.03695629256681972,True
Node2-Bogota,96,0.6959703671577933,True
Node2-Bogota,97,0.6941627231649878,True
Node2-Bogota,98,-0.4704757683089797,True
Node2-Bogota,99,-0.00437936343159831,True
Node2-Bogota,100,0.6759817731725077,True
Node2-Bogota,101,0.4092506350121326,True
Node2-Bogota,102,0.5650260037431711,True
Node2-Bogota,103,0.14634692940117333,True
Node2-Bogota,104,-0.10303697693911251,True
Node3-Bogota,0,0.45039678889567614,True
Node3-Bogota,1,-0.28214039498208876,True
Node3-Bogota,2,0.30430537250025574,True
Node3-Bogota,3,0.5276849196161274,True
Node3-Bogota,4,0.7550232166997226,True
Node3-Bogota,5,0.15186770938475797,True
Node3-Bogota,6,-0.07330512625862792,True
Node3-Bogota,7,0.027838930997305944,True
Node3-Bogota,8,0.045061835728734345,True
Node3-Bogota,9,-0.2845977634292584,True
Node3-Bogota,10,-0.32812197635477647,True
Node3-Bogota,11,0.16356008476958017,True
