node,row_idx,is_train,is_test,is_clean,L_i_r_db,state_idx,A_hat_r_db
Node1-Bogota,98,False,True,False,-18.3313627243042,5,-0.372263002765271
Node1-Bogota,99,False,True,True,-19.844998359680176,3,0.03292154387910238
Node1-Bogota,100,False,True,True,-20.696489334106445,1,0.08338561538578004
Node1-Bogota,101,False,True,True,-20.92215919494629,0,0.29531949250273
Node1-Bogota,102,False,True,True,-19.946821212768555,3,0.03292154387910238
Node1-Bogota,103,False,True,True,-21.494452476501465,0,0.29531949250273
Node1-Bogota,104,False,True,True,-19.911718368530273,3,0.03292154387910238
Node10-Bogota,0,True,False,True,-22.270305633544922,0,0.41075581358384716
Node10-Bogota,1,True,False,True,-20.55207347869873,1,0.031058584996896205
Node10-Bogota,2,True,False,True,-19.181425094604492,5,-0.451384562854619
Node10-Bogota,3,True,False,True,-19.05427646636963,5,-0.451384562854619
Node10-Bogota,4,True,False,True,-20.463183403015137,2,0.13794008890787762
Node10-Bogota,5,True,False,True,-20.40725612640381,2,0.13794008890787762
Node10-Bogota,6,True,False,True,-20.546990394592285,1,0.031058584996896205
Node10-Bogota,7,True,False,False,-20.552631378173828,1,0.031058584996896205
Node10-Bogota,8,True,False,False,-20.684669494628906,0,0.41075581358384716
Node10-Bogota,9,True,False,True,-21.57248020172119,0,0.41075581358384716
Node10-Bogota,10,True,False,True,-18.811628341674805,5,-0.451384562854619
Node10-Bogota,11,True,False,True,-20.387219429016113,2,0.13794008890787762
Node10-Bogota,12,True,False,True,-19.136330604553223,5,-0.451384562854619
Node10-Bogota,13,True,False,True,-20.29002094268799,3,0.09714866608612296
Node10-Bogota,14,True,False,True,-21.640746116638184,0,0.41075581358384716
Node10-Bogota,15,True,False,False,-20.676679611206055,1,0.031058584996896205
Node10-Bogota,16,True,False,True,-19.97270679473877,4,-0.25697137034216594
Node10-Bogota,17,True,False,True,-20.45728588104248,2,0.13794008890787762
Node10-Bogota,18,True,False,True,-18.741700172424316,5,-0.451384562854619
Node10-Bogota,19,True,False,True,-19.612361907958984,5,-0.451384562854619
Node10-Bogota,20,True,False,True,-20.32451057434082,3,0.09714866608612296
Node10-Bogota,21,True,False,True,-20.182897567749023,4,-0.25697137034216594
Node10-Bogota,22,True,False,True,-20.6104679107666,1,0.031058584996896205
Node10-Bogota,23,True,False,True,-20.46875,2,0.13794008890787762
Node10-Bogota,24,True,False,True,-20.06050205230713,4,-0.25697137034216594
Node10-Bogota,25,True,False,True,-19.994162559509277,4,-0.25697137034216594
Node10-Bogota,26,True,False,True,-19.28584098815918,5,-0.451384562854619
Node10-Bogota,27,True,False,True,-20.20524311065674,3,0.09714866608612296
Node10-Bogota,28,True,False,True,-20.269495010375977,3,0.09714866608612296
Node10-Bogota,29,True,False,True,-17.507742881774902,5,-0.451384562854619
Node10-Bogota,30,True,False,True,-20.390212059020996,2,0.13794008890787762
Node10-Bogota,31,True,False,True,-20.14617156982422,4,-0.25697137034216594
Node10-Bogota,32,True,False,True,-22.11712074279785,0,0.41075581358384716
Node10-Bogota,33,True,False,True,-21.77906894683838,0,0.41075581358384716
Node10-Bogota,34,True,False,True,-20.596856117248535,1,0.031058584996896205
Node10-Bogota,35,True,False,True,-20.41084384918213,2,0.13794008890787762
Node10-Bogota,36,True,False,True,-20.802053451538086,0,0.41075581358384716
Node10-Bogota,37,True,False,True,-20.799546241760254,0,0.41075581358384716
Node10-Bogota,38,True,False,True,-19.41771697998047,5,-0.451384562854619
Node10-Bogota,39,True,False,True,-21.127631187438965,0,0.41075581358384716
Node10-Bogota,40,True,False,True,-22.061333656311035,0,0.41075581358384716
Node10-Bogota,41,True,False,True,-20.567867279052734,1,0.031058584996896205
Node10-Bogota,42,True,False,True,-20.484642028808594,2,0.13794008890787762
Node10-Bogota,43,True,False,True,-20.469225883483887,2,0.13794008890787762
Node10-Bogota,44,True,False,True,-19.939183235168457,4,-0.25697137034216594
Node10-Bogota,45,True,False,True,-19.822285652160645,4,-0.25697137034216594
Node10-Bogota,46,True,False,True,-20.695130348205566,0,0.41075581358384716
Node10-Bogota,47,True,False,True,-20.640751838684082,1,0.031058584996896205
Node10-Bogota,48,True,False,True,-20.245885848999023,3,0.09714866608612296
Node10-Bogota,49,True,False,True,-20.33035373687744,3,0.09714866608612296
Node10-Bogota,50,True,False,True,-20.40379047393799,2,0.13794008890787762
Node10-Bogota,51,True,False,True,-19.690567016601562,5,-0.451384562854619
Node10-Bogota,52,True,False,True,-20.19080352783203,3,0.09714866608612296
Node10-Bogota,53,True,False,True,-20.60176658630371,1,0.031058584996896205
Node10-Bogota,54,True,False,True,-20.14485454559326,4,-0.25697137034216594
Node10-Bogota,55,True,False,True,-20.33382511138916,3,0.09714866608612296
Node10-Bogota,56,True,False,True,-20.04212188720703,4,-0.25697137034216594
Node10-Bogota,57,True,False,True,-20.27388572692871,3,0.09714866608612296
Node10-Bogota,58,True,False,True,-20.12475872039795,4,-0.25697137034216594
Node10-Bogota,59,True,False,True,-20.651063919067383,1,0.031058584996896205
Node10-Bogota,60,True,False,True,-20.31235408782959,3,0.09714866608612296
Node10-Bogota,61,True,False,True,-19.350563049316406,5,-0.451384562854619
Node10-Bogota,62,True,False,True,-19.725703239440918,5,-0.451384562854619
Node10-Bogota,63,True,False,True,-21.125900268554688,0,0.41075581358384716
Node10-Bogota,64,True,False,True,-20.348159790039062,2,0.13794008890787762
Node10-Bogota,65,True,False,True,-20.519341468811035,1,0.031058584996896205
Node10-Bogota,66,True,False,True,-20.548059463500977,1,0.031058584996896205
Node10-Bogota,67,True,False,True,-20.291963577270508,3,0.09714866608612296
Node10-Bogota,68,True,False,True,-20.143218994140625,4,-0.25697137034216594
Node10-Bogota,69,True,False,True,-20.9147367477417,0,0.41075581358384716
Node10-Bogota,70,True,False,True,-20.244897842407227,3,0.09714866608612296
Node10-Bogota,71,True,False,True,-20.505279541015625,1,0.031058584996896205
